FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Nb Actions for Group 1 (Equal Choice for Recourse),Nb Actions for Group 2 (Equal Choice for Recourse),Average Number of Actions (Equal Choice for Recourse),Difference in Number of Actions (Equal Choice for Recourse),Mean Gower Distance
1.9995,2.1371,9.9423,,,,,,,,,,
1.3925,2.4938,6.9262,1200.5,0.79,0.72,0.76,0.07,1.0,1.0,1.0,0.0,0.185
3.1186,1.6588,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.0664,1.4454,5.1483,,,,,,,,,,
1.6107,1.7476,2.3721,,,,,,,,,,
2.2537,3.4528,9.3018,1210.77,0.77,0.76,0.77,0.01,1.0,1.0,1.0,0.0,0.1523
1.079,0.5671,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.8223,1.9936,6.6275,,,,,,,,,,
0.8334,2.2736,8.2378,,,,,,,,,,
3.7549,1.9283,4.7827,1206.45,0.77,0.75,0.76,0.02,1.0,1.0,1.0,0.0,0.1755
3.0237,0.5646,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.5466,2.0659,5.1334,,,,,,,,,,
2.337,1.9993,9.6947,,,,,,,,,,
2.0199,3.195,5.8912,1258.22,0.76,0.78,0.77,0.02,2.0,2.0,2.0,0.0,0.1678
1.4264,0.2901,0.0,,,,,,,,,,
,,,,,,,,,,,,
1.0575,0.8121,4.0892,,,,,,,,,,
1.9026,2.3232,9.3904,,,,,,,,,,
3.2542,2.5733,4.3342,1253.06,0.78,0.72,0.75,0.06,2.0,2.0,2.0,0.0,0.1594
1.0659,0.7944,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.774,1.8921,4.4498,,,,,,,,,,
2.7367,2.8591,9.2842,,,,,,,,,,
2.4415,1.8705,5.943,1256.02,0.77,0.74,0.76,0.03,2.0,2.0,2.0,0.0,0.1698
1.9116,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.4886,1.4054,4.5397,,,,,,,,,,
1.9502,3.4634,8.1137,,,,,,,,,,
4.6385,0.8066,4.6058,1260.35,0.81,0.89,0.85,0.08,2.0,2.0,2.0,0.0,0.1665
1.7455,0.4934,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.8541,1.1312,5.8423,,,,,,,,,,
1.7384,2.5064,8.6225,,,,,,,,,,
3.6402,2.0051,6.1766,1257.45,0.77,0.75,0.76,0.02,2.0,2.0,2.0,0.0,0.1655
1.3938,0.2749,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.4895,2.7276,4.9753,,,,,,,,,,
2.5637,1.4379,10.0809,,,,,,,,,,
1.1348,2.9068,2.4671,1206.84,0.78,0.74,0.76,0.04,1.0,1.0,1.0,0.0,0.1516
1.4395,0.2853,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.8144,0.8572,3.1675,,,,,,,,,,
3.6715,2.5389,6.4939,,,,,,,,,,
2.533,1.4156,0.0,1209.95,0.74,0.76,0.75,0.02,1.0,1.0,1.0,0.0,0.1305
1.1276,0.0,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.5394,1.304,7.9543,,,,,,,,,,
1.4758,2.319,8.552,,,,,,,,,,
3.4528,2.4315,9.4316,1252.37,0.79,0.74,0.77,0.05,2.0,2.0,2.0,0.0,0.1963
2.7627,1.136,0.864,,,,,,,,,,
,,,,,,,,,,,,
0.2841,2.6675,5.7421,,,,,,,,,,
1.9995,1.6279,11.104,,,,,,,,,,
2.5683,2.8429,3.5865,1257.33,0.78,0.75,0.77,0.03,2.0,2.0,2.0,0.0,0.1667
1.1481,0.8025,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.0,0.8159,4.0632,,,,,,,,,,
0.7903,2.5418,8.1473,,,,,,,,,,
3.9885,1.3617,5.5357,1210.65,0.78,0.75,0.77,0.03,1.0,1.0,1.0,0.0,0.1335
0.7948,0.2826,0.0,,,,,,,,,,
,,,,,,,,,,,,
0.7348,1.0302,6.811,,,,,,,,,,
