FunctionalAssessment,ADL,MMSE,Reward,Group 1 Proportion (Equal Effectiveness),Group 2 Proportion (Equal Effectiveness),Average Success Rate (Equal Effectiveness),Proportions Difference (Equal Effectiveness),Mean Gower Distance
,,,,,,,,
0.2965,2.9,12.1733,,,,,,
2.3056,2.0317,5.1743,,,,,,
3.2253,1.6865,6.1002,1199.21,0.88,0.81,0.84,0.07,0.2277
3.5304,2.3574,7.9011,,,,,,
,,,,,,,,
0.5826,2.6013,8.8314,,,,,,
2.5962,2.635,4.4193,,,,,,
2.3712,1.9358,3.4269,1188.98,0.72,0.81,0.77,0.09,0.2047
2.5738,3.1829,5.2349,,,,,,
,,,,,,,,
0.0,0.8945,8.8293,,,,,,
2.2249,3.1614,9.5227,,,,,,
1.4797,0.8833,2.166,1199.67,0.76,0.75,0.76,0.01,0.1492
0.9438,0.8385,3.5632,,,,,,
,,,,,,,,
0.0,0.0,0.8833,,,,,,
1.729,0.0,7.5868,,,,,,
2.6178,2.8441,7.0936,1226.48,0.96,1.0,0.98,0.04,0.188
6.1445,4.3743,4.4489,,,,,,
,,,,,,,,
0.0,3.231,8.2351,,,,,,
2.908,1.4402,0.8977,,,,,,
0.299,0.8716,4.371,1203.76,0.76,0.78,0.77,0.02,0.1105
0.2869,0.2606,0.0,,,,,,
,,,,,,,,
0.2953,3.2191,7.0307,,,,,,
2.6327,3.1048,3.5717,,,,,,
1.7858,1.7745,8.5814,1192.15,0.72,0.81,0.77,0.09,0.1694
1.9264,0.151,0.0,,,,,,
,,,,,,,,
1.1504,2.8733,14.0944,,,,,,
2.9393,2.6882,3.4662,,,,,,
2.3408,2.3446,4.3055,1202.62,0.88,0.81,0.84,0.07,0.1898
0.6757,1.7393,0.0,,,,,,
,,,,,,,,
0.0,2.0428,3.5092,,,,,,
1.4666,3.5065,7.872,,,,,,
3.2393,2.8316,5.2913,1194.08,0.76,0.84,0.8,0.08,0.208
3.148,3.0568,4.448,,,,,,
,,,,,,,,
0.0,0.2906,0.8718,,,,,,
0.7617,0.4991,6.0309,,,,,,
1.4099,1.9881,8.3303,1194.91,0.72,0.78,0.75,0.06,0.1354
2.5855,3.386,2.6299,,,,,,
,,,,,,,,
0.5671,4.067,9.7599,,,,,,
1.7393,2.0621,2.6315,,,,,,
1.45,1.9024,3.5554,1197.31,0.8,0.75,0.78,0.05,0.1688
1.9882,1.7893,0.8951,,,,,,
,,,,,,,,
0.2792,0.8435,8.9994,,,,,,
1.4268,0.8458,10.3615,1172.97,0.76,0.75,0.76,0.01,0.1681
1.4903,3.0799,3.4747,,,,,,
,,,,,,,,
0.0,0.5453,3.4631,,,,,,
1.8944,1.137,6.9534,,,,,,
2.3627,3.2346,8.6168,1193.4,0.72,0.78,0.75,0.06,0.1522
2.5651,0.6694,0.8764,,,,,,
,,,,,,,,
0.0,1.4834,3.3217,,,,,,
3.4512,1.3703,4.3808,,,,,,
2.9085,2.9521,2.5904,1193.6100000000001,0.72,0.81,0.77,0.09,0.1532
2.4186,1.1803,0.8934,,,,,,
,,,,,,,,
0.2885,0.8284,4.438,,,,,,
3.0049,3.3767,7.991,1174.05,0.76,0.84,0.8,0.08,0.1528
1.7019,1.0534,0.0,,,,,,
,,,,,,,,
0.0,0.0,0.8392,,,,,,
0.8474,2.0049,10.4349,,,,,,
1.7668,2.2605,8.629,1195.97,0.84,0.75,0.79,0.09,0.1603
3.1755,2.8981,1.6475,,,,,,
,,,,,,,,
0.0,0.8857,0.0,,,,,,
1.1367,2.8963,8.7384,,,,,,
0.8804,4.3083,7.0515,1192.34,0.72,0.78,0.75,0.06,0.164
2.0385,1.9136,3.5307,,,,,,
,,,,,,,,
0.2973,1.4741,5.0125,,,,,,
2.9032,2.3074,8.3905,,,,,,
1.1927,3.1663,7.0074,1199.83,0.76,0.81,0.79,0.05,0.1574
0.87,0.2891,0.8939,,,,,,
,,,,,,,,
1.1326,2.3574,7.996,,,,,,
2.0195,2.8672,8.7304,,,,,,
1.4217,3.5037,2.6307,1194.15,0.76,0.81,0.79,0.05,0.2206
